codigo,lang,fit,frame_shift,irreversibility,assimilability,behavioral_opening,banderas,notas
R-001,en,,,,,,,
R-002,es,,,,,,,
R-003,en,,,,,,,
R-004,es,,,,,,,
R-005,es,,,,,,,
R-006,en,,,,,,,
R-007,es,,,,,,,
R-008,en,,,,,,,
R-009,es,,,,,,,
R-010,en,,,,,,,
R-011,es,,,,,,,
R-012,en,,,,,,,
R-013,en,,,,,,,
R-014,en,,,,,,,
R-015,es,,,,,,,
R-016,es,,,,,,,
R-017,es,,,,,,,
R-018,es,,,,,,,
R-019,es,,,,,,,
R-020,en,,,,,,,
R-021,es,,,,,,,
R-022,en,,,,,,,
R-023,es,,,,,,,
R-024,en,,,,,,,
R-025,en,,,,,,,
R-026,es,,,,,,,
R-027,es,,,,,,,
R-028,en,,,,,,,
R-029,es,,,,,,,
R-030,en,,,,,,,
R-031,es,,,,,,,
R-032,es,,,,,,,
R-033,en,,,,,,,
R-034,en,,,,,,,
R-035,en,,,,,,,
R-036,en,,,,,,,
R-037,en,,,,,,,
R-038,en,,,,,,,
R-039,en,,,,,,,
R-040,es,,,,,,,
R-041,es,,,,,,,
R-042,en,,,,,,,
R-043,en,,,,,,,
R-044,es,,,,,,,
R-045,en,,,,,,,
R-046,en,,,,,,,
R-047,es,,,,,,,
R-048,en,,,,,,,
R-049,en,,,,,,,
R-050,en,,,,,,,
R-051,en,,,,,,,
R-052,en,,,,,,,
R-053,en,,,,,,,
R-054,en,,,,,,,
R-055,en,,,,,,,
R-056,en,,,,,,,
R-057,en,,,,,,,
R-058,es,,,,,,,
R-059,en,,,,,,,
R-060,es,,,,,,,
R-061,en,,,,,,,
R-062,es,,,,,,,
R-063,en,,,,,,,
R-064,es,,,,,,,
R-065,es,,,,,,,
R-066,es,,,,,,,
R-067,es,,,,,,,
R-068,en,,,,,,,
R-069,en,,,,,,,
R-070,en,,,,,,,
R-071,es,,,,,,,
R-072,en,,,,,,,
R-073,es,,,,,,,
R-074,es,,,,,,,
R-075,es,,,,,,,
R-076,es,,,,,,,
R-077,es,,,,,,,
R-078,en,,,,,,,
R-079,es,,,,,,,
R-080,es,,,,,,,
R-081,es,,,,,,,
R-082,es,,,,,,,
R-083,en,,,,,,,
R-084,en,,,,,,,
R-085,es,,,,,,,
R-086,es,,,,,,,
R-087,es,,,,,,,
R-088,en,,,,,,,
R-089,es,,,,,,,
R-090,es,,,,,,,
R-091,en,,,,,,,
R-092,es,,,,,,,
R-093,es,,,,,,,
R-094,es,,,,,,,
R-095,en,,,,,,,
R-096,es,,,,,,,
